Order_Id,Total_Selling_Price,Total_Profitt
2698,130406.4,21746.4
6827,84875.0,14875.0
9040,122141.5,12811.5
4278,61789.0,8309.0
166,62668.8,7868.8
7667,46656.0,7776.0
9640,53105.0,7215.0
4298,53969.5,6779.5
7244,38586.6,6726.6
9057,28243.6,5143.6
510,30797.5,4747.5
2493,30576.0,4466.0
6210,24607.8,4267.8
4099,46305.0,4255.0
2661,21344.4,3964.4
1455,23590.4,3910.4
7938,22226.4,3866.4
8859,24130.0,3830.0
1712,23324.0,3584.0
6426,32592.0,3352.0
2419,23040.0,3340.0
995,18659.2,3259.2
6885,19737.6,3257.6
1445,17463.6,3243.6
7580,19988.0,3188.0
7773,22050.0,3150.0
9949,18701.6,3101.6
3071,19894.7,3094.7
9742,21340.0,3090.0
1434,24715.6,3015.6
9858,26035.2,2995.2
1792,21356.0,2956.0
5711,18816.0,2926.0
1804,31967.6,2917.6
1645,21388.5,2838.5
7998,19038.0,2838.0
1702,16848.9,2808.9
3274,19353.6,2793.6
9775,17091.2,2771.2
8991,33271.0,2751.0
9650,26734.4,2734.4
2624,43904.0,2704.0
3581,18856.8,2696.8
8681,14406.0,2646.0
8489,42875.0,2625.0
6521,20889.6,2609.6
9149,19874.4,2584.4
9166,17203.2,2523.2
9426,21603.0,2523.0
150,15132.0,2492.0
4882,19237.5,2407.5
245,13720.0,2380.0
8169,13994.4,2304.4
6100,30518.4,2248.4
684,31360.0,2240.0
7847,21318.0,2238.0
3427,13536.0,2236.0
4191,29925.0,2205.0
252,41808.0,2158.0
516,14250.0,2100.0
5171,17150.0,2100.0
5563,14400.0,2100.0
1014,20428.2,2098.2
1086,32585.0,2065.0
9636,13936.5,2056.5
2506,38902.5,2052.5
9271,25084.2,2044.2
5301,22344.0,2044.0
8313,19962.6,2042.6
7819,13347.6,2037.6
488,15782.4,1982.4
3984,13720.0,1970.0
6015,32281.6,1961.6
8469,15276.0,1956.0
3591,16588.8,1948.8
7174,11640.0,1940.0
5302,11642.4,1922.4
264,17110.8,1920.8
5764,13920.0,1920.0
3629,13987.4,1877.4
2861,13936.5,1876.5
2768,14592.0,1872.0
5991,15694.0,1834.0
7475,22436.1,1826.1
4429,10642.8,1822.8
2183,19200.0,1800.0
3771,11760.0,1800.0
1049,12920.4,1760.4
1831,10944.0,1744.0
4094,21128.8,1738.8
28,20913.2,1733.2
7584,23765.0,1715.0
6902,11400.0,1700.0
11,14928.3,1698.3
6341,19760.0,1680.0
8154,53760.0,1680.0
6621,20176.0,1676.0
4356,10752.0,1652.0
5627,20727.0,1647.0
5067,12210.8,1640.8
9429,9389.6,1629.6
8800,8820.0,1620.0
6111,9878.4,1618.4
9661,26092.8,1612.8
7684,11087.1,1607.1
7330,12369.0,1589.0
2405,9676.8,1576.8
4620,16934.4,1574.4
6114,13444.2,1564.2
3151,11936.4,1556.4
6011,14994.0,1554.0
5127,10752.0,1552.0
9930,13440.0,1540.0
7388,18197.2,1537.2
2549,9118.0,1518.0
9948,11116.8,1516.8
8891,12969.6,1489.6
2392,13996.8,1486.8
661,9878.4,1478.4
5885,14435.4,1475.4
5321,15684.9,1474.9
8936,15052.8,1472.8
5189,10427.2,1467.2
9494,10907.4,1457.4
1002,15523.2,1453.2
8893,22914.0,1404.0
6627,27160.0,1400.0
9413,13300.0,1400.0
1837,8400.0,1400.0
8209,8055.6,1395.6
3987,9842.0,1362.0
4219,9408.0,1348.0
6152,11640.0,1340.0
7085,13936.5,1336.5
2021,14200.2,1330.2
6132,10564.4,1324.4
1546,10770.2,1320.2
6926,7915.2,1315.2
9514,8002.5,1302.5
6632,8400.0,1300.0
3044,16072.0,1272.0
2258,8131.2,1271.2
4640,12544.0,1264.0
4988,7740.6,1260.6
6918,6860.0,1260.0
5056,11785.5,1255.5
5918,24111.0,1251.0
6184,6906.4,1226.4
6851,9137.4,1217.4
5632,7333.2,1213.2
7184,7780.5,1210.5
6536,38095.0,1195.0
9399,11542.5,1192.5
6235,7129.5,1179.5
1812,9576.0,1176.0
8275,7401.1,1171.1
3385,8820.0,1170.0
3012,12112.5,1162.5
400,9120.0,1160.0
7194,7857.0,1137.0
378,10221.4,1121.4
409,6720.0,1120.0
9491,15352.0,1112.0
3819,7123.2,1103.2
68,8613.6,1093.6
4271,7362.3,1092.3
7633,9486.4,1086.4
949,5938.8,1078.8
2354,10524.5,1074.5
2794,14364.0,1064.0
374,7996.8,1036.8
870,5586.0,1036.0
3625,7752.0,1032.0
300,8467.2,1027.2
8782,7084.8,1024.8
7510,16499.7,1019.7
7915,16660.0,1010.0
7459,8148.0,1008.0
6882,16846.2,1006.2
5560,6450.5,1000.5
5757,9700.0,1000.0
5919,9600.0,1000.0
2819,6278.4,998.4
2535,10476.0,996.0
4890,7408.8,988.8
3769,8908.2,988.2
6271,10231.2,961.2
7784,8360.0,960.0
2625,18240.0,960.0
7899,9177.0,957.0
4520,10476.0,956.0
1757,10010.4,950.4
9060,7526.4,946.4
8994,12633.6,943.6
5199,11200.5,940.5
7228,6336.0,936.0
5727,6317.5,927.5
8750,8967.0,927.0
7058,6105.4,925.4
8205,18003.2,923.2
5435,7872.0,922.0
216,10281.6,921.6
8700,17561.6,921.6
8587,6321.0,921.0
1220,13239.8,919.8
2845,6596.0,916.0
4265,6673.6,913.6
3299,5529.6,909.6
3824,5761.8,901.8
1906,7061.6,901.6
4378,7301.0,901.0
1023,10819.2,899.2
7680,6489.6,889.6
9289,6220.8,880.8
6528,7600.0,880.0
9430,5280.0,880.0
6176,6557.2,877.2
3184,14376.6,876.6
1923,7353.0,873.0
4454,6272.0,872.0
2190,12658.5,868.5
1247,42020.4,860.4
1047,6460.0,860.0
6989,5510.0,860.0
5630,7158.6,858.6
9926,8458.4,858.4
461,7695.0,855.0
9728,4802.0,852.0
9404,9063.0,843.0
3371,6192.0,842.0
8057,6241.5,841.5
464,7315.2,835.2
8302,8085.0,835.0
263,8904.6,834.6
2929,6194.0,834.0
4992,8977.5,827.5
3520,5376.0,826.0
9505,7401.1,821.1
3892,9878.4,818.4
2210,5577.6,817.6
2674,6317.5,817.5
6049,6615.0,815.0
1597,6792.5,812.5
6296,10231.2,811.2
3281,19760.0,810.0
3800,6460.0,810.0
4,4704.0,804.0
807,7603.2,803.2
9674,7200.0,800.0
1563,5096.0,796.0
6818,9613.8,793.8
2517,5292.0,792.0
5531,9622.4,782.4
8569,6450.5,780.5
2484,5415.0,765.0
6535,6192.0,762.0
4941,11201.4,761.4
9760,6860.0,760.0
3552,4838.4,758.4
3615,4233.6,753.6
5426,8002.5,752.5
8573,4850.0,750.0
4496,7948.8,748.8
5517,5068.8,748.8
7687,13706.1,746.1
3571,6624.8,744.8
5962,5063.4,743.4
722,4851.0,741.0
5386,7315.0,735.0
5941,5174.4,734.4
2075,5213.6,733.6
4010,4911.5,731.5
747,5529.0,729.0
811,6175.0,725.0
3263,4854.5,724.5
2345,4233.6,723.6
8237,13720.0,720.0
1430,5899.6,719.6
8363,4368.0,718.0
8055,4316.5,716.5
6489,4074.0,714.0
2404,6384.0,714.0
3655,5472.0,702.0
7607,11232.0,702.0
4040,4481.4,701.4
5017,5700.0,700.0
9222,5820.0,700.0
9616,3978.8,698.8
4129,7624.2,694.2
55,4944.0,694.0
1989,6783.0,693.0
820,5842.5,692.5
1082,9690.3,690.3
5460,11248.0,688.0
4495,5187.0,687.0
8915,5005.2,685.2
2114,5044.0,684.0
3146,3763.2,683.2
4976,6350.4,680.4
7277,7680.0,680.0
3857,3977.0,677.0
3007,4275.0,675.0
1987,5472.0,672.0
2496,4992.0,672.0
3996,5779.2,669.2
4670,4166.4,666.4
7547,5213.6,663.6
2299,9408.0,658.0
2849,7827.9,657.9
4292,7857.0,657.0
5772,4454.4,654.4
534,4753.0,653.0
7320,4802.0,652.0
2358,10728.2,648.2
5150,3557.4,647.4
9788,4947.0,647.0
9713,6285.6,645.6
4218,3763.2,643.2
4267,6451.2,641.2
2710,5587.2,637.2
1251,21437.0,637.0
5845,5187.0,637.0
7546,4233.6,633.6
7115,9633.0,633.0
1156,15052.8,632.8
8478,3952.0,632.0
6468,9880.0,630.0
660,6860.0,630.0
2495,3528.0,628.0
3203,4704.0,624.0
5870,6144.0,624.0
7345,4104.0,624.0
2437,4851.0,621.0
943,4218.0,618.0
9867,7477.4,617.4
1851,4067.0,617.0
910,4656.0,616.0
6901,3763.2,613.2
8555,7123.2,613.2
4270,3410.4,610.4
793,6460.0,610.0
7066,8379.0,609.0
2801,3705.0,605.0
1003,7324.8,604.8
5125,3933.0,603.0
2580,3802.4,602.4
9533,5779.2,599.2
2988,10858.5,598.5
5616,5096.0,596.0
8454,4464.0,594.0
2325,4190.4,590.4
8272,19865.6,585.6
9733,6305.0,585.0
2649,4723.2,583.2
4897,4300.8,580.8
5187,5700.0,580.0
4759,3057.6,577.6
5076,3626.0,576.0
9348,4320.0,570.0
4662,4888.8,568.8
2569,3686.4,566.4
7488,19642.5,562.5
6211,6790.0,560.0
6693,5174.4,554.4
5298,4233.6,553.6
2478,3880.8,550.8
1200,4229.2,549.2
1167,3969.0,549.0
5007,4408.0,548.0
5957,3298.0,548.0
8965,3648.0,548.0
3787,7477.4,547.4
4634,3363.0,543.0
1493,5762.4,542.4
4772,5742.4,542.4
3392,4142.0,542.0
9235,4142.0,542.0
6121,3181.6,541.6
1186,2881.2,541.2
1756,3841.2,541.2
6930,5719.0,539.0
9317,3018.4,538.4
9034,3436.8,536.8
9749,3136.0,536.0
8968,3191.3,531.3
9075,4731.0,531.0
12,3530.8,530.8
9274,4550.4,530.4
8260,3230.1,530.1
8772,3609.6,529.6
4821,3569.6,529.6
4056,10368.0,528.0
3601,3676.5,526.5
5813,4335.9,525.9
766,3705.0,525.0
3017,5723.2,523.2
542,2918.4,518.4
948,3458.0,518.0
6778,3847.5,517.5
1511,2995.2,515.2
6408,4365.0,515.0
7625,4165.0,515.0
9704,4165.0,515.0
8452,8064.0,514.0
4386,4413.5,513.5
9582,2861.5,511.5
289,4560.0,510.0
5231,3360.0,510.0
2359,4108.8,508.8
376,4608.0,508.0
434,3408.0,508.0
2024,3306.0,506.0
9187,7056.0,506.0
9349,6585.6,505.6
6181,3055.5,505.5
7484,3024.0,504.0
1122,4704.0,504.0
2841,4423.2,503.2
1586,4753.0,503.0
2304,2822.4,502.4
4851,4802.0,502.0
271,2861.6,501.6
5639,7581.0,501.0
7552,4880.4,500.4
9579,3110.4,500.4
7815,2940.0,500.0
6063,5700.0,500.0
6869,24709.5,499.5
1625,3298.0,498.0
4119,3087.0,497.0
6663,3087.0,497.0
4024,2744.0,494.0
393,5292.0,492.0
1571,2940.0,490.0
6899,3990.0,490.0
227,3038.0,488.0
1296,10497.5,487.5
3834,4987.5,487.5
7873,3606.4,486.4
6839,8036.0,486.0
3815,3936.0,486.0
2685,2734.2,484.2
3498,2822.4,482.4
6745,2822.4,482.4
7095,2822.4,482.4
5652,5831.0,481.0
319,7820.4,480.4
709,4180.0,480.0
1888,3040.0,480.0
2482,5880.0,480.0
7463,4617.0,477.0
9510,4015.8,475.8
7329,4915.2,475.2
9778,3715.2,475.2
2655,3715.2,475.2
